Date,Y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,Unnamed: 66
'2016-01-01,7.925,7.9032,539.985,692.547,74.4483,0.4902,50.6771,75.0592,44.9749,27000.0,6.2032,51596.9,48161.4,69570.5,71449.0,91855.4,724.161,2.6054,689.289,718.753,697.906,0.3762,0.0936,69.7966,0.2901,69.1692,0.2854,0.3675,0.4894,0.4923,20.3,4.4,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,606.34,
2016-01-02,7.9708,7.9372,539.977,692.549,74.8442,0.4926,50.1147,75.0692,44.9595,27000.0,6.2574,51958.4,49138.0,69741.3,71392.9,92025.8,724.929,2.6171,689.281,719.063,697.783,0.5248,0.0939,69.8363,0.2901,69.1556,0.2851,0.3651,0.4898,0.4925,20.2,4.4,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,606.82,
2016-01-03,8.037,7.9719,539.982,692.858,75.1641,0.4902,50.301,75.0966,44.9862,27000.0,6.144,53373.8,51568.8,68918.9,70759.9,92564.7,726.039,2.6091,689.707,720.002,697.743,0.4752,0.0939,69.7801,0.2918,68.904,0.2885,0.3637,0.4867,0.4912,20.2,4.5,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,606.44,
2016-01-04,7.9989,7.898,539.98,693.57,74.4027,0.4913,50.4921,74.9977,44.9745,27000.0,5.9656,53609.8,49198.5,69472.7,71168.5,92643.0,727.415,2.599,690.358,721.563,698.893,0.3584,0.0934,69.8182,0.2886,68.8223,0.287,0.3648,0.4859,0.4881,20.1,4.5,0.358,1327.0,4.3,9.1,3.2,,,,,,,,,,,71.44,57.61,,0.06,178.0,4950.0,1.16,0.0,672.0,2753.0,51.0,604.0,32.62,0.93,3378.0,0.0%,0.0,605.76,
2016-01-05,7.9976,7.8382,539.98,694.041,73.8966,0.4879,50.6487,75.0535,44.9665,27046.0,5.8913,53712.5,48980.8,69800.7,71503.6,93032.6,727.672,2.5999,690.709,722.032,698.893,0.2897,0.0936,69.4685,0.2912,68.6992,0.2882,0.3641,0.4823,0.485,20.1,4.5,0.358,1326.0,4.2,8.7,3.8,0.44,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,606.09,
2016-01-06,7.973,7.8254,539.98,694.05,73.902,0.4885,49.9815,75.1278,44.9742,27000.0,5.9196,53383.4,50083.3,69545.9,71840.3,93298.4,727.386,2.6009,690.699,721.673,698.875,0.1591,0.0931,69.6903,0.2899,68.8584,0.2877,0.364,0.4837,0.4865,20.1,4.4,0.352,1326.0,4.2,8.7,3.9,,313.0,364.4,393.4,456.0,510.2,575.8,671.8,709.6,741.4,,56.94,,,212.0,4806.0,1.16,0.0,605.0,2664.0,61.0,579.0,32.72,0.93,3651.0,0.1%,0.9,607.09,
2016-01-07,8.0039,7.8482,539.982,694.798,73.9376,0.4864,50.4073,75.1092,44.9743,27053.6,5.7998,53382.6,49123.8,71207.7,72852.5,93865.3,729.102,2.5965,691.456,723.204,699.471,0.1217,0.0934,69.1998,0.2962,68.4557,0.2915,0.3647,0.4853,0.4884,20.0,4.4,0.354,1367.0,4.3,8.8,3.7,0.35,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,605.59,
2016-01-08,7.9361,7.8036,539.98,695.04,73.5583,0.4798,51.179,75.0094,44.9592,27122.1,5.6855,52195.9,47215.1,72455.9,73379.6,93610.7,728.966,2.5883,691.594,723.433,699.132,0.0868,0.0931,68.92,0.2968,68.2469,0.2927,0.3661,0.4828,0.486,20.1,4.4,0.352,1268.0,4.3,9.0,4.0,,,,,,,,,,,,56.75,,,184.0,4812.0,1.16,0.0,638.0,2648.0,119.0,608.0,32.65,0.94,3757.0,0.0%,0.26,605.93,
2016-01-09,7.8868,7.7245,539.319,696.419,72.7319,0.4825,50.6975,74.9953,44.9529,27216.8,5.5807,52060.6,47666.1,71667.8,72893.9,93133.4,730.213,2.5888,693.074,724.33,700.522,0.4037,0.094,68.2123,0.3012,67.5581,0.2958,0.364,0.4761,0.4815,20.1,4.5,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,605.29,
2016-01-10,7.728,7.5343,538.369,698.799,71.0153,0.484,50.4951,75.0539,44.9689,27448.2,5.7067,50882.1,48565.3,69605.2,70706.6,91518.9,727.634,2.5886,695.404,721.566,704.312,0.4562,0.0939,67.0707,0.302,66.1149,0.3049,0.366,0.4609,0.4694,20.1,4.5,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,605.92,
2016-01-11,7.6999,7.4199,538.319,700.05,70.1073,0.4816,50.804,75.0211,44.9637,27391.7,5.7875,50540.7,47572.7,69247.9,71179.6,91037.3,726.043,2.5908,696.64,720.289,707.237,0.211,0.0926,66.517,0.3015,65.7979,0.3052,0.3659,0.4608,0.4681,20.0,4.6,0.35,1265.0,5.1,12.9,3.4,0.35,321.6,367.6,395.8,456.8,510.4,575.0,670.6,708.4,740.8,72.45,56.7,,0.02,167.0,4884.0,1.16,0.0,717.0,2664.0,85.0,605.0,32.71,0.94,3904.0,0.0%,0.0,607.19,
2016-01-12,7.8134,7.5491,540.3,700.049,71.4732,0.4792,50.7087,75.0047,44.9778,27506.5,5.8399,50737.4,47844.0,70220.7,72081.6,91953.4,725.026,2.6027,696.771,719.252,707.814,0.1715,0.0931,67.3013,0.3087,66.7875,0.302,0.3644,0.4692,0.4746,20.0,4.7,0.393,1299.0,5.5,11.6,2.3,0.99,318.4,366.2,394.6,456.2,509.6,573.8,668.0,705.8,739.4,,,,,,,,,,,,,,,,0.3%,1.58,608.05,
2016-01-13,7.7844,7.6967,541.589,699.043,72.6607,0.4766,50.6589,75.0598,44.9551,27208.0,5.7469,51841.3,49555.6,70992.2,72628.0,92996.6,725.96,2.6129,695.817,719.927,706.937,0.2123,0.0938,68.3108,0.2973,68.159,0.2898,0.3636,0.4832,0.4864,20.1,4.6,0.347,1294.0,5.8,10.7,2.7,1.47,322.4,368.2,395.8,456.8,510.2,574.2,669.0,707.0,740.4,,56.69,,,199.0,4786.0,1.15,0.0,605.0,2692.0,79.0,614.0,32.73,0.94,4056.0,0.4%,2.4,606.89,
2016-01-14,7.8765,7.7574,540.006,696.812,72.9186,0.4789,50.9193,74.985,44.9909,27059.9,5.761,52504.1,50152.0,70916.1,72047.8,93556.5,726.246,2.5936,693.686,719.808,703.585,0.4711,0.0948,68.4109,0.2975,67.9323,0.293,0.3631,0.4825,0.4877,20.1,4.8,0.348,1296.0,5.6,10.7,4.5,0.74,321.4,367.6,395.4,456.2,509.4,573.6,667.4,705.2,739.2,,,,,,,,,,,,,,,,0.0%,0.0,604.29,
2016-01-15,7.7664,7.44,539.984,702.989,70.112,0.477,50.613,75.1567,44.9831,27043.5,5.7829,50630.9,48910.4,69928.5,70495.7,91527.2,724.923,2.6017,699.995,718.714,712.405,0.4539,0.0941,66.052,0.3055,65.6278,0.3053,0.3628,0.4609,0.4657,20.0,4.8,0.365,1311.0,5.5,13.4,4.2,0.5,320.6,367.6,395.8,457.0,510.6,574.8,669.2,706.8,740.0,,56.55,,,209.0,4763.0,1.14,0.0,633.0,2726.0,36.0,613.0,32.73,0.94,4199.0,0.0%,0.0,605.82,
2016-01-16,7.8691,7.5931,539.974,699.456,71.6711,0.4782,50.4472,75.0766,44.981,27042.7,5.7354,52231.9,47996.9,72512.7,73663.9,92936.6,728.242,2.6103,696.314,722.279,706.7,0.4073,0.0939,67.291,0.3042,66.8624,0.297,0.3605,0.4852,0.4864,20.0,4.7,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,606.62,
2016-01-17,7.7859,7.5992,539.973,699.545,71.7395,0.4769,50.6672,74.9331,44.9598,26990.0,5.4898,52770.6,48583.6,73716.3,75201.4,92822.7,730.866,2.6108,696.193,725.014,705.36,0.3392,0.0942,67.4177,0.3021,67.0795,0.2934,0.361,0.4804,0.4825,20.1,5.1,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0,606.48,
